p-value	side	q-value	pathway	feature
0.0002523689402134443	pos	0.04694062287970064	Type VI secretion system	2.0
0.0002104862974077108	pos	0.04694062287970064	Vanadium resistance, efflux pump MexGHI-OpmD	2.0
1.468718674753495e-05	neg	0.005463633470083001	Ribosome PAO1	3.0
0.0001524076709007678	neg	0.018898551191695208	Ribosome, bacteria	3.0
9.857374200473498e-05	neg	0.018334716012880704	2-Oxocarboxylic acid metabolism PAO1	3.0
4.28952411854788e-08	pos	1.595702972099811e-05	Dipeptide transport system	4.0
2.3851318287538543e-05	pos	0.0029575634676547793	Benzoate degradation PAO1	4.0
1.8049352911252003e-05	pos	0.0029575634676547793	Aminobenzoate degradation PAO1	4.0
9.647288631186664e-05	pos	0.008971978427003596	Methane metabolism PAO1	4.0
4.587394488492796e-08	pos	8.532553748596599e-06	Glycine, serine and threonine metabolism PAO1	5.0
0.00011115495520512027	pos	0.008269928667260947	Tetrahydrofolate biosynthesis, GTP => THF	5.0
2.76771068998115e-08	pos	8.532553748596599e-06	Glycine betaine/proline transport system	5.0
0.00011115495520512027	pos	0.008269928667260947	Methane metabolism PAO1	5.0
5.356703537274163e-06	pos	0.0006642312386219962	Glycolysis / Gluconeogenesis PAO1	5.0
1.1557008801253939e-07	pos	1.0836420514358485e-05	Aminobenzoate degradation PAO1	6.0
7.407116879035141e-05	neg	0.003936353541430103	Glycine, serine and threonine metabolism PAO1	6.0
1.1652065069202674e-07	neg	1.0836420514358485e-05	Denitrification, nitrate => nitrogen	6.0
1.3653560819817238e-05	neg	0.0008465207708286688	Tyrosine metabolism PAO1	6.0
1.1652065069202674e-07	neg	1.0836420514358485e-05	Vanadium resistance, efflux pump MexGHI-OpmD	6.0
1.7666078988722251e-07	neg	1.3143562767609355e-05	Putative polar amino acid transport system	6.0
8.314840054854217e-25	neg	3.0931205004057684e-22	Sulfur metabolism PAO1	6.0
2.2921733994969177e-20	pos	8.526885046128534e-18	Type VI secretion system	8.0
0.00015689024945667274	pos	0.01167263455957645	Cationic antimicrobial peptide (CAMP) resistance, arnBCADTEF operon	8.0
3.914372955008823e-10	pos	4.8538224642109406e-08	Cationic antimicrobial peptide (CAMP) resistance PAO1	8.0
0.0003108449441107683	pos	0.019272386534867635	Sulfur metabolism PAO1	8.0
5.450491254539362e-11	neg	1.0137913733443212e-08	Tyrosine metabolism PAO1	8.0
9.857374200473498e-05	neg	0.009167358006440352	Fructose and mannose metabolism PAO1	8.0
1.777390068098145e-14	neg	3.3059455266625497e-12	Ribosome PAO1	9.0
5.257453509849796e-22	neg	1.955772705664124e-19	Ribosome, bacteria	9.0
4.0926451944410073e-07	neg	5.0748800411068495e-05	Oxidative phosphorylation PAO1	9.0
5.368805930753024e-05	neg	0.004992989515600312	Methane metabolism PAO1	9.0
8.114559401913174e-08	pos	1.0062053658372336e-05	NitT/TauT family transport system	10.0
0.0011532281058651706	pos	0.04766676170909372	Chlorocyclohexane and chlorobenzene degradation PAO1	10.0
8.096060986361111e-07	pos	6.023469373852667e-05	Benzoate degradation PAO1	10.0
0.0001451741486849675	pos	0.00771496904440113	Aminobenzoate degradation PAO1	10.0
2.6034948800156804e-07	pos	2.4212502384145824e-05	Putative polar amino acid transport system	10.0
1.7811500922378535e-30	pos	6.625878343124814e-28	Sulfur metabolism PAO1	10.0
0.000257420786318737	neg	0.01197006656382127	Multidrug resistance, efflux pump MexPQ-OpmE	10.0
2.486612264750058e-08	neg	4.625098812435108e-06	Phenazine biosynthesis PAO1	10.0
4.326662780047386e-05	neg	0.0026825309236293794	Cationic antimicrobial peptide (CAMP) resistance, arnBCADTEF operon	10.0
2.4023471270206817e-11	neg	8.936731312516935e-09	Nitrogen metabolism PAO1	12.0
6.645736865342135e-05	pos	0.014568439941873254	Flagellar assembly PAO1	13.0
7.832494592404976e-05	pos	0.014568439941873254	Amino sugar and nucleotide sugar metabolism PAO1	13.0
7.814144547483852e-05	neg	0.009689539238879977	Type VI secretion system	14.0
3.7158109639005037e-13	neg	1.3822816785709873e-10	Quorum sensing PAO1	14.0
1.3952522478584566e-06	neg	0.0002595169181016729	Cyanoamino acid metabolism PAO1	14.0
6.397080043825162e-19	pos	1.18985688815148e-16	Ribosome PAO1	15.0
3.407667871694761e-29	pos	1.2676524482704511e-26	Ribosome, bacteria	15.0
8.291146055010063e-13	neg	1.0281021108212478e-10	Valine, leucine and isoleucine degradation PAO1	15.0
0.0002104862974077108	neg	0.039150451317834206	Phenazine biosynthesis PAO1	16.0
8.69993957904922e-13	neg	3.23637752340631e-10	Quorum sensing PAO1	16.0
4.217263071467527e-05	pos	0.005229406208619734	Glyoxylate and dicarboxylate metabolism PAO1	17.0
9.600377532668942e-06	neg	0.001785670221076423	Phenazine biosynthesis PAO1	17.0
2.7959520443930448e-11	neg	1.0400941605142126e-08	Nitrogen metabolism PAO1	17.0
2.7621809615093546e-09	pos	1.0275313176814798e-06	Bacterial chemotaxis PAO1	18.0
2.6206148491929837e-08	pos	4.874343619498949e-06	Nitrogen metabolism PAO1	18.0
2.111359464737823e-05	neg	0.0015708514417649402	Sulfate-sulfur assimilation	18.0
1.4000214799472433e-06	neg	0.00017360266351345818	Benzoate degradation PAO1	18.0
3.157709464899056e-06	neg	0.0002936669802356122	Aminobenzoate degradation PAO1	18.0
6.695220451954868e-07	pos	8.302073360424036e-05	Tyrosine metabolism PAO1	20.0
3.891948647221033e-08	neg	7.23902448383112e-06	Tyrosine metabolism PAO1	20.0
7.705149681905854e-05	neg	0.007165789204172443	Aminobenzoate degradation PAO1	20.0
4.670243694260505e-30	neg	1.7373306542649078e-27	Type III secretion system	20.0
5.353651268123503e-28	pos	1.991558271741943e-25	Valine, leucine and isoleucine degradation PAO1	21.0
1.2272028225791324e-07	pos	1.5217314999981242e-05	Tyrosine metabolism PAO1	21.0
3.771677159011141e-07	pos	3.507659757880361e-05	Propanoate metabolism PAO1	21.0
5.387417080126964e-05	pos	0.004008238307614461	Aminobenzoate degradation PAO1	21.0
0.0005949137255041065	pos	0.0368846509812546	Tryptophan metabolism PAO1	21.0
8.661945105158998e-10	neg	1.6111217895595737e-07	Cationic antimicrobial peptide (CAMP) resistance PAO1	21.0
7.984934619337622e-07	pos	7.425989195983987e-05	Glycine, serine and threonine metabolism PAO1	22.0
4.75743318202886e-11	neg	1.7697651437147357e-08	Type II general secretion pathway	22.0
1.2272028225791324e-07	neg	2.282597249997186e-05	Fructose and mannose metabolism PAO1	22.0
1.8831368801776846e-07	neg	2.335089731420329e-05	Phosphate transport system	22.0
7.4908053944928065e-06	neg	0.0005573159213502648	Phosphonate and phosphinate metabolism PAO1	22.0
9.331242198369913e-05	neg	0.005785370162989346	Phosphonate transport system	22.0
1.0259768417821209e-05	pos	0.00127221128380983	Arginine and proline metabolism PAO1	23.0
3.4400525022788395e-09	pos	6.398497654238641e-07	Cationic antimicrobial peptide (CAMP) resistance, arnBCADTEF operon	23.0
0.00015934255573429214	pos	0.014818857683289168	Cationic antimicrobial peptide (CAMP) resistance PAO1	23.0
5.450491254539362e-11	neg	2.0275827466886423e-08	Tyrosine metabolism PAO1	23.0
5.795764960910149e-08	pos	2.1560245654585754e-05	Flagellar assembly PAO1	24.0
0.00022590853483959105	neg	0.04201898748016393	Fructose and mannose metabolism PAO1	24.0
0.0003024766051636719	neg	0.03750709904029532	Macrolide resistance, MacAB-TolC transporter	25.0
9.970822514523194e-05	neg	0.01854572987701314	Zinc transport system	25.0
1.686531858404771e-10	neg	6.273898513265748e-08	Biosynthesis of siderophore group nonribosomal peptides PAO1	25.0
0.0003615297052697224	neg	0.04482968345344558	Macrolide resistance, MacAB-TolC transporter	26.0
5.898198859180447e-06	neg	0.002194129975615126	Glycine, serine and threonine metabolism PAO1	26.0
0.00012998357639736857	neg	0.024176945209910553	Zinc transport system	26.0
0.00020931459495879167	pos	0.03893251466233525	Degradation of aromatic compounds PAO1	27.0
0.00011190832051158536	neg	0.03893251466233525	Tyrosine metabolism PAO1	27.0
0.00011453809405636725	pos	0.021304085494484308	Flagellar assembly PAO1	28.0
1.9941916128496026e-05	neg	0.007418392799800521	Amino sugar and nucleotide sugar metabolism PAO1	28.0
4.364438416992933e-07	pos	8.117855455606855e-05	Oxidative phosphorylation PAO1	29.0
1.1658225681104175e-11	neg	4.336859953370753e-09	Biosynthesis of siderophore group nonribosomal peptides PAO1	29.0
0.00012687646260409202	neg	0.01573268136290741	Putative spermidine/putrescine transport system	29.0
1.51493866479914e-08	pos	5.6355718330528e-06	Cationic antimicrobial peptide (CAMP) resistance PAO1	33.0
0.00026796271689709535	neg	0.04984106534285973	Quorum sensing PAO1	33.0
0.00010161323596170232	pos	0.018900061888876628	RNA degradation PAO1	34.0
7.639873017020568e-05	pos	0.018900061888876628	Aminoacyl-tRNA biosynthesis, prokaryotes	34.0
0.00014363740850877982	neg	0.017811038655088696	Phenazine biosynthesis PAO1	35.0
2.6563925612007425e-18	neg	9.881780327666762e-16	Quorum sensing PAO1	35.0
1.683149730141749e-06	neg	0.0003130658498063653	Cyanoamino acid metabolism PAO1	35.0
3.1229094526035933e-06	pos	0.0011617223163685366	Biosynthesis of siderophore group nonribosomal peptides PAO1	37.0
0.00019554973997262278	neg	0.036372251634907836	Oxidative phosphorylation PAO1	37.0
4.285801529569302e-07	neg	5.3143938966659344e-05	Phospholipid transport system	38.0
2.277601463452848e-06	neg	0.00021181693610111484	Cationic antimicrobial peptide (CAMP) resistance, arnBCADTEF operon	38.0
2.0848540166078828e-08	neg	3.877828470890662e-06	Cationic antimicrobial peptide (CAMP) resistance PAO1	38.0
8.151311437901894e-19	neg	3.0322878548995044e-16	Sulfur metabolism PAO1	38.0
2.5945407945221596e-05	pos	0.0024129229389056083	Aminobenzoate degradation PAO1	39.0
1.9566560552134974e-09	pos	7.27876052539421e-07	Quorum sensing PAO1	39.0
1.328811664627092e-06	pos	0.0002471589696206391	Cationic antimicrobial peptide (CAMP) resistance, arnBCADTEF operon	39.0
1.759404662929573e-05	pos	0.0021816617820326705	Cationic antimicrobial peptide (CAMP) resistance PAO1	39.0
5.0672627153707675e-05	neg	0.003141702883529876	Degradation of aromatic compounds PAO1	39.0
5.0672627153707675e-05	neg	0.003141702883529876	Vanadium resistance, efflux pump MexGHI-OpmD	39.0
2.232928538319517e-05	pos	0.0027688313875162012	Aminobenzoate degradation PAO1	40.0
1.1533302407732903e-08	pos	4.2903884956766395e-06	Cationic antimicrobial peptide (CAMP) resistance, arnBCADTEF operon	40.0
2.1283041574278472e-07	pos	3.958645732815795e-05	Cationic antimicrobial peptide (CAMP) resistance PAO1	40.0
8.85180202857373e-11	pos	1.6464351773147137e-08	Ribosome PAO1	41.0
2.8976783166273807e-15	pos	1.0779363337853856e-12	Ribosome, bacteria	41.0
2.9188025629446255e-07	pos	3.619315178051336e-05	Citrate cycle (TCA cycle) PAO1	41.0
8.035822936088088e-06	pos	0.0014946630661123843	Oxidative phosphorylation PAO1	42.0
4.841414343703454e-11	neg	1.8010061358576847e-08	Denitrification, nitrate => nitrogen	42.0
5.4316799985879066e-08	pos	1.0102924797373505e-05	Pentose phosphate pathway PAO1	43.0
0.0005493503280686866	pos	0.03993617125040047	Oxidative phosphorylation PAO1	43.0
0.0005618267341640918	neg	0.03993617125040047	Glyoxylate and dicarboxylate metabolism PAO1	43.0
5.073660879974337e-07	neg	6.291339491168178e-05	Quorum sensing PAO1	43.0
9.334147602712923e-12	neg	3.472302908209207e-09	Cationic antimicrobial peptide (CAMP) resistance, arnBCADTEF operon	43.0
0.0006441317943612979	neg	0.03993617125040047	Cationic antimicrobial peptide (CAMP) resistance PAO1	43.0
2.288427179262716e-06	pos	0.00028376497022857683	Pentose phosphate pathway PAO1	44.0
1.5437444346872972e-10	pos	2.8713646485183726e-08	Biosynthesis of siderophore group nonribosomal peptides PAO1	44.0
6.652479045954101e-15	neg	2.4747222050949255e-12	Cationic antimicrobial peptide (CAMP) resistance PAO1	44.0
1.4727385619087841e-05	pos	0.0010957174900601354	Arginine biosynthesis PAO1	45.0
6.745467903671513e-05	pos	0.0035847343716654324	Valine, leucine and isoleucine degradation PAO1	45.0
5.968342627532282e-07	pos	0.00011101117287210044	Glyoxylate and dicarboxylate metabolism PAO1	45.0
0.0006294444114924096	pos	0.029269165134397045	Bacterial chemotaxis PAO1	45.0
2.8365365328884396e-05	pos	0.0017586526503908326	Nitrogen metabolism PAO1	45.0
3.7241510415692413e-06	pos	0.00046179472915458596	Cyanoamino acid metabolism PAO1	45.0
9.382200581408722e-06	neg	0.0008725446540710111	Oxidative phosphorylation PAO1	45.0
1.7444202710446917e-10	neg	6.489243408286253e-08	Cationic antimicrobial peptide (CAMP) resistance PAO1	45.0
0.0005728569668004809	pos	0.042620558329955774	Ribosome PAO1	46.0
0.00019194413278400416	pos	0.023801072465216518	Citrate cycle (TCA cycle) PAO1	46.0
0.0002601844509623075	neg	0.024197153939494592	Vanadium resistance, efflux pump MexGHI-OpmD	46.0
6.663397300943258e-09	neg	2.478783795950892e-06	Starch and sucrose metabolism PAO1	46.0
1.2651782528690054e-07	neg	2.3532315503363497e-05	Quorum sensing PAO1	46.0
1.7433518897103384e-09	pos	6.485269029722459e-07	Pentose phosphate pathway PAO1	47.0
8.000711978565803e-05	pos	0.007440662140066196	Oxidative phosphorylation PAO1	47.0
1.0082774011126468e-07	neg	1.250263977379682e-05	Tyrosine metabolism PAO1	47.0
8.67704033487821e-09	neg	1.6139295022873468e-06	Type III secretion system	47.0
2.5945407945221596e-05	pos	0.0048258458778112166	Zinc transport system	48.0
1.2267776503701131e-09	neg	4.5636128593768204e-07	Tyrosine metabolism PAO1	48.0
5.0672627153707675e-05	pos	0.0047125543252948135	Leucine degradation, leucine => acetoacetate + acetyl-CoA	49.0
1.8551258810518632e-08	pos	3.4505341387564654e-06	Tyrosine metabolism PAO1	49.0
7.676154684825308e-06	neg	0.0009518431809183382	Tyrosine metabolism PAO1	49.0
7.735874204880746e-12	neg	2.877745204215637e-09	Biosynthesis of siderophore group nonribosomal peptides PAO1	49.0
