feature	pathway	gene_signature_definition
0	Fatty acid metabolism PAO1	PA2815
0	Iron(III) transport system	PA5217
0	Arginine biosynthesis PAO1	PA1337
0	Porphyrin and chlorophyll metabolism PAO1	PA4880
0	beta-Lactam resistance PAO1	PA2019;PA2018;PA5471
0	Nucleotide excision repair PAO1	PA4234
0	Bacterial chemotaxis PAO1	PA2652;PA4307
0	Propanoate metabolism PAO1	PA0494;PA2555
0	Type VI secretion system	PA2685
0	Inosine monophosphate biosynthesis, PRPP + glutamine => IMP	PA1013
0	Glycerophospholipid metabolism PAO1	PA2541;PA3584;PA2536
0	Vanadium resistance, efflux pump MexGHI-OpmD	PA4205
0	Flagellar assembly PAO1	PA1094;PA1095;PA1092;PA1086
0	Phenazine biosynthesis PAO1	PA4217
0	Glutamate/aspartate transport system	PA1341;PA1339;PA1340
0	Putative polar amino acid transport system	PA5137
0	Quorum sensing PAO1	PA3364;PA4777;PA4211
0	Oxidative phosphorylation PAO1	PA1319
0	Methane metabolism PAO1	PA2444
0	Glycerolipid metabolism PAO1	PA3582
0	Tryptophan metabolism PAO1	PA3366
0	Cyanoamino acid metabolism PAO1	PA1338
1	Pyruvate metabolism PAO1	PA3687;PA4733
1	Thiamine metabolism PAO1	PA4973
1	Degradation of aromatic compounds PAO1	PA0232
1	Arginine and proline metabolism PAO1	PA0202
1	RNA degradation PAO1	PA3861
1	Porphyrin and chlorophyll metabolism PAO1	PA3977
1	beta-Lactam resistance PAO1	PA3719
1	Riboflavin metabolism PAO1	PA4053
1	Bacterial chemotaxis PAO1	PA1464
1	Multidrug resistance, efflux pump TriABC-TolC	PA0157
1	Flagellar assembly PAO1	PA1447;PA1445
1	Vancomycin resistance PAO1	PA4412
1	Quorum sensing PAO1	PA0222
1	Purine metabolism PAO1	PA4865;PA3970
1	ABC-2 type transport system	PA2812
1	Sulfur metabolism PAO1	PA0589
1	Terpenoid backbone biosynthesis PAO1	PA4043
1	Putrescine transport system	PA2711
2	Pyruvate metabolism PAO1	PA4470;PA1217;PA0494
2	Arginine and proline metabolism PAO1	PA1421
2	Denitrification, nitrate => nitrogen	PA0524;PA0523
2	beta-Lactam resistance PAO1	PA2018
2	Aminobenzoate degradation PAO1	PA2514;PA2512;PA2513
2	Glyoxylate and dicarboxylate metabolism PAO1	PA1501
2	D-Methionine transport system	PA3931
2	Glycine betaine/proline transport system	PA5103
2	Putative polar amino acid transport system	PA4195;PA2204;PA4193;PA4192
2	Biosynthesis of siderophore group nonribosomal peptides PAO1	PA4225;PA4230;PA4224;PA4226;PA4228;PA4231
2	Cationic antimicrobial peptide (CAMP) resistance, arnBCADTEF operon	PA1180
2	Oxidative phosphorylation PAO1	PA0112
2	Cationic antimicrobial peptide (CAMP) resistance PAO1	PA3554;PA1179;PA3552;PA3553
2	Sulfur metabolism PAO1	PA0282;PA4443;PA3445;PA3442;PA3446;PA3937;PA1838;PA0280;PA3443;PA3935;PA0283;PA0281;PA2594;PA3444;PA3936;PA3938;PA4442
3	Pyruvate metabolism PAO1	PA3452
3	Porphyrin and chlorophyll metabolism PAO1	PA1923
3	Phenylalanine, tyrosine and tryptophan biosynthesis PAO1	PA0872
3	Ribosome PAO1	PA3601;PA3600
3	Tetrahydrofolate biosynthesis, GTP => THF	PA5539
3	Bacterial chemotaxis PAO1	PA1946
3	Aminoglycoside resistance, protease FtsH	PA2438
3	Glyoxylate and dicarboxylate metabolism PAO1	PA5420;PA5508
3	Selenocompound metabolism PAO1	PA1927
3	Zinc transport system	PA5501;PA5498;PA5500
3	Vancomycin resistance PAO1	PA5302
3	Putative ABC transport system	PA4065;PA4064
3	Quorum sensing PAO1	PA0999;PA0997;PA0998;PA1000;PA1001;PA5499
3	Pyrimidine metabolism PAO1	PA5541
3	Citrate cycle (TCA cycle) PAO1	PA5436
3	Cationic antimicrobial peptide (CAMP) resistance PAO1	PA5538
3	Iron complex transport system	PA2914;PA2912;PA2913
3	Putative sorbitol/mannitol transport system	PA3187
4	Pyruvate metabolism PAO1	PA5445
4	Pentose phosphate pathway PAO1	PA2264
4	Arginine and proline metabolism PAO1	PA4773;PA3366;PA4774;PA0782;PA1421
4	Sulfate-sulfur assimilation	PA4130
4	Glyoxylate and dicarboxylate metabolism PAO1	PA4811;PA0550
4	Thiamine metabolism PAO1	PA4973
4	Glycerophospholipid metabolism PAO1	PA3584
4	Alanine, aspartate and glutamate metabolism PAO1	PA2253
4	Zinc transport system	PA2408
4	Amino sugar and nucleotide sugar metabolism PAO1	PA2232;PA3559
4	Quorum sensing PAO1	PA4777;PA4776
4	Nitrogen metabolism PAO1	PA3392;PA0523;PA0524;PA5508
4	Glutathione metabolism PAO1	PA2813
4	Biosynthesis of siderophore group nonribosomal peptides PAO1	PA4225;PA4230;PA4224;PA4226;PA4228;PA4231
4	Cationic antimicrobial peptide (CAMP) resistance, arnBCADTEF operon	PA3558;PA3555;PA3557
4	Oxidative phosphorylation PAO1	PA2691;PA4133;PA1317
4	Cationic antimicrobial peptide (CAMP) resistance PAO1	PA3554;PA1179;PA3552;PA3553;PA3556;PA1180
4	Glycerolipid metabolism PAO1	PA3582
5	Arginine biosynthesis PAO1	PA5171;PA5172
5	Porphyrin and chlorophyll metabolism PAO1	PA0510;PA4235
5	Glycine, serine and threonine metabolism PAO1	PA5495
5	Glycolysis / Gluconeogenesis PAO1	PA5427
5	Bacterial chemotaxis PAO1	PA1561
5	Propanoate metabolism PAO1	PA0836
5	Glyoxylate and dicarboxylate metabolism PAO1	PA4236
5	Vitamin B6 metabolism PAO1	PA1049
5	Purine metabolism PAO1	PA5497
5	Nitrogen metabolism PAO1	PA5173;PA0519;PA3877;PA0523
5	ABC-2 type transport system	PA5230
5	Phenylalanine metabolism PAO1	PA5304
5	Oxidative phosphorylation PAO1	PA1557;PA1555;PA3929;PA1556;PA3930
5	Lipopolysaccharide biosynthesis PAO1	PA3337
5	Methane metabolism PAO1	PA0835
5	Putative spermidine/putrescine transport system	PA0295
5	Sulfur metabolism PAO1	PA0518
5	Cyanoamino acid metabolism PAO1	PA2194;PA2195;PA2193
6	Pyruvate metabolism PAO1	PA4847
6	RNA degradation PAO1	PA4761;PA5239;PA4385
6	Phenylalanine, tyrosine and tryptophan biosynthesis PAO1	PA4846
6	Ribosome PAO1	PA4433;PA4568;PA4246;PA4257;PA4671;PA4258;PA4256;PA4251;PA4240;PA4255;PA4268;PA4273;PA4267;PA4241;PA4262;PA4248
6	Monobactam biosynthesis PAO1	PA1010
6	Sec (secretion) system	PA4276
6	Glyoxylate and dicarboxylate metabolism PAO1	PA5119
6	Ubiquinone and other terpenoid-quinone biosynthesis PAO1	PA3171
6	Glycolysis, core module involving three-carbon compounds	PA4748
6	Glycerophospholipid metabolism PAO1	PA2584;PA3584
6	Cysteine and methionine metabolism PAO1	PA0432
6	Flagellar assembly PAO1	PA1092
6	Histidine metabolism PAO1	PA4449;PA5100
6	Amino sugar and nucleotide sugar metabolism PAO1	PA4450
6	Ribosome, bacteria	PA4260;PA0579;PA4563;PA5570;PA4249;PA4272;PA4271;PA4261;PA4274;PA4242;PA3745;PA4239;PA4264;PA4247
6	Quorum sensing PAO1	PA5568
6	Purine metabolism PAO1	PA4329;PA3686;PA4740;PA3807;PA4670;PA4238;PA0934
6	Aminoacyl-tRNA biosynthesis, prokaryotes	PA2744;PA3987
6	Phosphonate transport system	PA3316
6	Pyrimidine metabolism PAO1	PA3637
6	Citrate cycle (TCA cycle) PAO1	PA1580;PA1588;PA5435
6	Oxidative phosphorylation PAO1	PA5559;PA1581;PA1583;PA5557;PA5560;PA1582;PA1584;PA5554;PA5556;PA5555;PA5558
6	2-Oxocarboxylic acid metabolism PAO1	PA5013
6	Lipopolysaccharide biosynthesis PAO1	PA3636
6	Glycolysis / Gluconeogenesis PAO1	PA3001
7	Valine, leucine and isoleucine degradation PAO1	PA2012;PA2550
7	beta-Lactam resistance PAO1	PA0958
7	Fructose and mannose metabolism PAO1	PA3540;PA2232;PA3541
7	Type VI secretion system	PA0083;PA0084;PA0090;PA0078;PA0080;PA0087
7	Glyoxylate and dicarboxylate metabolism PAO1	PA4811;PA4810;PA4812;PA2553
7	Bacterial chemotaxis PAO1	PA1946
7	Glutathione metabolism PAO1	PA2813
7	Biosynthesis of siderophore group nonribosomal peptides PAO1	PA4225;PA4230;PA4224;PA4226;PA4228;PA4231
7	ABC-2 type transport system	PA2812;PA2811
7	Phenylalanine metabolism PAO1	PA4980
7	Oxidative phosphorylation PAO1	PA1555;PA3929;PA1557
8	Pyruvate metabolism PAO1	PA3416;PA1217;PA3417
8	Polyketide sugar unit biosynthesis PAO1	PA5164
8	Denitrification, nitrate => nitrogen	PA1174
8	Valine, leucine and isoleucine degradation PAO1	PA0132;PA2247;PA2553;PA2248;PA2000;PA2250;PA2249;PA3418;PA3569;PA3570
8	Bacterial chemotaxis PAO1	PA0180;PA1930;PA0177;PA0178;PA0179;PA0175;PA0176
8	Glyoxylate and dicarboxylate metabolism PAO1	PA2445;PA5355;PA2446
8	Streptomycin biosynthesis PAO1	PA5163
8	Flagellar assembly PAO1	PA1094;PA1092
8	Styrene degradation PAO1	PA2009
8	Butanoate metabolism PAO1	PA2003;PA5058
8	Quorum sensing PAO1	PA1871;PA1130;PA1901;PA3724;PA4206;PA1905;PA1902;PA3477;PA2570;PA3361;PA1904;PA1903;PA4211;PA3478;PA3479
8	Nitrogen metabolism PAO1	PA1173
8	Hemophore/metalloprotease transport system	PA1248
8	Oxidative phosphorylation PAO1	PA0106;PA0108;PA4133;PA0105;PA0113;PA0107
8	Sulfur metabolism PAO1	PA2566;PA4130;PA3446
8	Tryptophan metabolism PAO1	PA0704
9	Arginine and proline metabolism PAO1	PA1421
9	Macrolide resistance, MacAB-TolC transporter	PA1180
9	Putative sorbitol/mannitol transport system	PA3187
9	Valine, leucine and isoleucine degradation PAO1	PA0132;PA2247;PA2015;PA2553;PA2013;PA2014;PA2248;PA2000;PA2250;PA2249;PA0130;PA1999;PA2012;PA2011
9	Tyrosine metabolism PAO1	PA2008;PA4121;PA0870;PA2009;PA4122;PA4125;PA2007;PA4123;PA0865
9	Propanoate metabolism PAO1	PA2555
