pw0	pw1	weight	features
Cationic antimicrobial peptide (CAMP) resistance PAO1	Cationic antimicrobial peptide (CAMP) resistance, arnBCADTEF operon	21	4.0 43.0 49.0 59.0 74.0 94.0 107.0 124.0 140.0 153.0 155.0 192.0 197.0 198.0 221.0 228.0 248.0 252.0 255.0 259.0 262.0
Ribosome PAO1	Ribosome, bacteria	14	6.0 13.0 18.0 47.0 48.0 54.0 68.0 91.0 134.0 147.0 184.0 226.0 250.0 287.0
Cyanoamino acid metabolism PAO1	Quorum sensing PAO1	13	16.0 61.0 92.0 115.0 143.0 150.0 154.0 163.0 175.0 181.0 217.0 221.0 234.0
Phenazine biosynthesis PAO1	Quorum sensing PAO1	11	16.0 61.0 92.0 115.0 181.0 192.0 193.0 216.0 217.0 234.0 271.0
Aminobenzoate degradation PAO1	Benzoate degradation PAO1	10	21.0 26.0 58.0 90.0 150.0 173.0 178.0 222.0 224.0 251.0
Quorum sensing PAO1	Vanadium resistance, efflux pump MexGHI-OpmD	10	50.0 64.0 95.0 115.0 158.0 183.0 193.0 216.0 259.0 276.0
Macrolide resistance, MacAB-TolC transporter	Zinc transport system	9	39.0 82.0 83.0 105.0 159.0 164.0 191.0 242.0 294.0
Cyanoamino acid metabolism PAO1	Phenazine biosynthesis PAO1	8	16.0 61.0 92.0 115.0 116.0 181.0 217.0 234.0
Oxidative phosphorylation PAO1	Ribosome PAO1	8	6.0 13.0 47.0 91.0 134.0 147.0 184.0 287.0
Oxidative phosphorylation PAO1	Ribosome, bacteria	8	6.0 13.0 47.0 91.0 134.0 147.0 184.0 287.0
Quorum sensing PAO1	Type VI secretion system	8	16.0 51.0 61.0 62.0 73.0 85.0 92.0 175.0
Tyrosine metabolism PAO1	Valine, leucine and isoleucine degradation PAO1	8	9.0 17.0 26.0 107.0 116.0 125.0 241.0 245.0
Aminobenzoate degradation PAO1	Biosynthesis of siderophore group nonribosomal peptides PAO1	7	2.0 44.0 58.0 150.0 164.0 229.0 283.0
Glycine, serine and threonine metabolism PAO1	Methane metabolism PAO1	6	19.0 108.0 187.0 243.0 256.0 270.0
Biosynthesis of siderophore group nonribosomal peptides PAO1	Cationic antimicrobial peptide (CAMP) resistance PAO1	5	2.0 153.0 154.0 260.0 274.0
Cyanoamino acid metabolism PAO1	Type VI secretion system	5	16.0 20.0 61.0 92.0 175.0
Iron complex transport system	Zinc transport system	5	3.0 39.0 93.0 111.0 129.0
Aminobenzoate degradation PAO1	Valine, leucine and isoleucine degradation PAO1	5	21.0 26.0 90.0 178.0 271.0
Putative polar amino acid transport system	Sulfur metabolism PAO1	5	2.0 125.0 145.0 252.0 269.0
Biosynthesis of siderophore group nonribosomal peptides PAO1	Sulfur metabolism PAO1	5	2.0 90.0 97.0 130.0 229.0
Biosynthesis of siderophore group nonribosomal peptides PAO1	Tyrosine metabolism PAO1	4	58.0 116.0 125.0 245.0
Aminobenzoate degradation PAO1	Degradation of aromatic compounds PAO1	4	19.0 44.0 234.0 255.0
Glycine, serine and threonine metabolism PAO1	Zinc transport system	4	93.0 111.0 191.0 294.0
Phenazine biosynthesis PAO1	Type III secretion system	4	110.0 153.0 217.0 291.0
Type III secretion system	Tyrosine metabolism PAO1	4	9.0 110.0 153.0 232.0
Aminobenzoate degradation PAO1	Cationic antimicrobial peptide (CAMP) resistance, arnBCADTEF operon	4	124.0 192.0 253.0 255.0
Aminobenzoate degradation PAO1	Styrene degradation PAO1	4	58.0 173.0 224.0 253.0
Phenazine biosynthesis PAO1	Type VI secretion system	4	16.0 61.0 92.0 172.0
Biosynthesis of siderophore group nonribosomal peptides PAO1	Valine, leucine and isoleucine degradation PAO1	4	116.0 125.0 245.0 275.0
Aminobenzoate degradation PAO1	Cationic antimicrobial peptide (CAMP) resistance PAO1	4	2.0 124.0 192.0 255.0
Benzoate degradation PAO1	Styrene degradation PAO1	4	58.0 173.0 214.0 224.0
Benzoate degradation PAO1	Valine, leucine and isoleucine degradation PAO1	4	21.0 26.0 90.0 178.0
Styrene degradation PAO1	Valine, leucine and isoleucine degradation PAO1	4	188.0 227.0 243.0 267.0
Citrate cycle (TCA cycle) PAO1	Ribosome, bacteria	4	6.0 54.0 68.0 184.0
Biosynthesis of siderophore group nonribosomal peptides PAO1	Zinc transport system	4	37.0 39.0 105.0 164.0
Citrate cycle (TCA cycle) PAO1	Ribosome PAO1	4	6.0 54.0 68.0 184.0
Cationic antimicrobial peptide (CAMP) resistance PAO1	Quorum sensing PAO1	3	154.0 158.0 259.0
Cationic antimicrobial peptide (CAMP) resistance PAO1	Vanadium resistance, efflux pump MexGHI-OpmD	3	158.0 248.0 259.0
Arginine biosynthesis PAO1	Quorum sensing PAO1	3	78.0 85.0 143.0
Cationic antimicrobial peptide (CAMP) resistance, arnBCADTEF operon	Type VI secretion system	3	43.0 152.0 228.0
Aminobenzoate degradation PAO1	Quorum sensing PAO1	3	26.0 205.0 225.0
Bacterial chemotaxis PAO1	Valine, leucine and isoleucine degradation PAO1	3	8.0 53.0 176.0
Biosynthesis of siderophore group nonribosomal peptides PAO1	Iron complex transport system	3	39.0 130.0 191.0
Biosynthesis of siderophore group nonribosomal peptides PAO1	Cyanoamino acid metabolism PAO1	3	61.0 116.0 154.0
Quorum sensing PAO1	Type III secretion system	3	86.0 128.0 217.0
Phenazine biosynthesis PAO1	Tyrosine metabolism PAO1	3	110.0 116.0 153.0
Biosynthesis of siderophore group nonribosomal peptides PAO1	Macrolide resistance, MacAB-TolC transporter	3	39.0 105.0 164.0
Aminobenzoate degradation PAO1	Zinc transport system	3	82.0 164.0 242.0
Glycine betaine/proline transport system	Methane metabolism PAO1	3	19.0 108.0 270.0
Biosynthesis of siderophore group nonribosomal peptides PAO1	Phenylalanine metabolism PAO1	3	11.0 58.0 245.0
Arginine biosynthesis PAO1	Oxidative phosphorylation PAO1	3	49.0 143.0 184.0
Aminobenzoate degradation PAO1	Sulfur metabolism PAO1	3	2.0 82.0 229.0
Aminobenzoate degradation PAO1	Fructose and mannose metabolism PAO1	3	26.0 38.0 234.0
RNA degradation PAO1	Ribosome PAO1	3	6.0 18.0 68.0
Aminobenzoate degradation PAO1	Macrolide resistance, MacAB-TolC transporter	3	82.0 164.0 242.0
RNA degradation PAO1	Ribosome, bacteria	3	6.0 18.0 68.0
Biosynthesis of siderophore group nonribosomal peptides PAO1	Type VI secretion system	3	7.0 61.0 79.0
Glycine betaine/proline transport system	Glycine, serine and threonine metabolism PAO1	3	19.0 108.0 270.0
Cationic antimicrobial peptide (CAMP) resistance PAO1	Nitrogen metabolism PAO1	3	4.0 158.0 260.0
Quorum sensing PAO1	Valine, leucine and isoleucine degradation PAO1	3	8.0 26.0 193.0
Biosynthesis of siderophore group nonribosomal peptides PAO1	Quorum sensing PAO1	3	11.0 61.0 154.0
Glycine, serine and threonine metabolism PAO1	Macrolide resistance, MacAB-TolC transporter	3	189.0 191.0 294.0
Phenazine biosynthesis PAO1	Vanadium resistance, efflux pump MexGHI-OpmD	3	115.0 193.0 216.0
Aminobenzoate degradation PAO1	Tyrosine metabolism PAO1	3	26.0 58.0 255.0
Glycine, serine and threonine metabolism PAO1	Styrene degradation PAO1	2	188.0 243.0
Citrate cycle (TCA cycle) PAO1	Oxidative phosphorylation PAO1	2	6.0 184.0
Bacterial secretion system PAO1	Quorum sensing PAO1	2	128.0 275.0
Biosynthesis of siderophore group nonribosomal peptides PAO1	Phenazine biosynthesis PAO1	2	61.0 116.0
Aminoacyl-tRNA biosynthesis, prokaryotes	Ribosome PAO1	2	6.0 13.0
Phosphonate transport system	Type II general secretion pathway	2	84.0 131.0
Flagellar assembly PAO1	Oxidative phosphorylation PAO1	2	93.0 102.0
Phenylalanine metabolism PAO1	Tyrosine metabolism PAO1	2	58.0 245.0
Nitrogen metabolism PAO1	Type VI secretion system	2	20.0 196.0
Biosynthesis of siderophore group nonribosomal peptides PAO1	Nitrogen metabolism PAO1	2	77.0 260.0
Phenazine biosynthesis PAO1	Valine, leucine and isoleucine degradation PAO1	2	116.0 193.0
Fructose and mannose metabolism PAO1	Tyrosine metabolism PAO1	2	26.0 248.0
